epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
62,0.6932,0.6923,"[ 2.57375666  4.48001554 -0.04515601  1.94543873  0.96796725  0.62625745
  1.21613713  2.12322453  2.54030015]",19.7553
63,0.6931,0.6852,"[ 2.57334505  4.47977625 -0.04537656  1.94564935  0.96819501  0.62654979
  1.21634888  2.12254508  2.54089703]",19.7529
64,0.6932,0.6964,"[ 2.57335754  4.47978194 -0.04537159  1.94564444  0.96818959  0.62654231
  1.21634393  2.12257532  2.54087301]",19.753
65,0.6931,0.6997,"[ 2.57009221  4.47632069 -0.04885983  1.94914802  0.97166812  0.629933
  1.21984615  2.11951751  2.54398952]",19.7443
66,0.6932,0.695,"[ 2.56818463  4.47436432 -0.05082021  1.95111085  0.97362759  0.63187579
  1.22180889  2.11775861  2.54581216]",19.7394
67,0.693,0.7069,"[ 2.57015746  4.47635098 -0.04883269  1.94912214  0.97163971  0.62989327
  1.21982015  2.11968576  2.54386312]",19.7449
68,0.6929,0.7028,"[ 2.57567973  4.48207189 -0.04309079  1.94336793  0.96590461  0.62423423
  1.21406699  2.12487605  2.53856239]",19.7602
69,0.6929,0.7182,"[ 2.57366352  4.48006424 -0.0450978   1.94537442  0.96791179  0.62624408
  1.21607353  2.12283296  2.54059443]",19.7539
70,0.6927,0.6723,"[ 2.57172575  4.47809352 -0.04707144  1.9473494   0.96988433  0.62820586
  1.21804839  2.12098983  2.54247545]",19.7484
71,0.6928,0.6867,"[ 2.569709    4.47608547 -0.04907893  1.94935619  0.97189171  0.63021635
  1.22005519  2.11894318  2.54450818]",19.7423
72,0.6931,0.6929,"[ 2.5734629   4.47995954 -0.04519395  1.94546474  0.96801002  0.6263767
  1.21616419  2.12241669  2.54092928]",19.7524
73,0.6931,0.7034,"[ 2.57512402  4.48178299 -0.04335474  1.94361766  0.96617708  0.62459964
  1.21431794  2.12372952  2.53949373]",19.7561
74,0.6932,0.6907,"[ 2.57517921  4.48180882 -0.04333172  1.94359551  0.96615256  0.62456612
  1.21429562  2.12386389  2.53938821]",19.7566
75,0.6931,0.6907,"[ 2.57504208  4.48174245 -0.04339178  1.94365237  0.96621507  0.6246517
  1.21435279  2.12353925  2.53964152]",19.7554
76,0.6932,0.692,"[ 2.57509419  4.4817701  -0.04336678  1.94362828  0.96618876  0.62461688
  1.21432858  2.12362656  2.53956155]",19.7557
77,0.6932,0.692,"[ 2.57701582  4.48373324 -0.04140011  1.94165972  0.96422341  0.62266478
  1.21236019  2.1254248   2.53771394]",19.7613
78,0.6931,0.6926,"[ 2.57500478  4.48172604 -0.04340698  1.94366601  0.9662301   0.62467351
  1.21436647  2.1234193   2.53972326]",19.755
79,0.6931,0.6939,"[ 2.57712616  4.48378454 -0.0413547   1.94161566  0.96417431  0.62259843
  1.2123157   2.12568992  2.53750218]",19.7622
80,0.6931,0.694,"[ 2.57323448  4.47983563 -0.04530888  1.94557189  0.96812599  0.62653214
  1.21627164  2.12195468  2.54129606]",19.7507
81,0.693,0.7092,"[ 2.57326487  4.47985124 -0.045295    1.94555829  0.96811094  0.62651249
  1.21625791  2.12200517  2.54124822]",19.7509
82,0.6928,0.7094,"[ 2.57128782  4.47786101 -0.04728651  1.94754995  0.97010157  0.62849952
  1.21824948  2.12007158  2.54319879]",19.7451
83,0.6931,0.7075,"[ 2.57121608  4.47782657 -0.04731802  1.94757928  0.97013353  0.62854446
  1.21827885  2.11988741  2.54333491]",19.7445
84,0.6931,0.6886,"[ 2.57319898  4.4798185  -0.04532548  1.9455861   0.96814099  0.62655498
  1.21628569  2.12183889  2.54136922]",19.7503
85,0.6931,0.6901,"[ 2.5731922   4.47981518 -0.04532863  1.94558888  0.96814403  0.62655924
  1.21628847  2.12181925  2.54138274]",19.7502
86,0.693,0.6795,"[ 2.57320529  4.47982126 -0.04532336  1.94558361  0.96813814  0.62655137
  1.21628314  2.12184722  2.54135855]",19.7503
87,0.6931,0.6828,"[ 2.5711963   4.47781507 -0.04732917  1.94758908  0.9701441   0.62855857
  1.21828867  2.11984994  2.54336404]",19.7443
88,0.6932,0.6921,"[ 2.57313075  4.47978384 -0.04535761  1.94561569  0.96817325  0.6265992
  1.21631537  2.12168195  2.54148955]",19.7497
89,0.6931,0.6979,"[ 2.57311589  4.47977675 -0.04536418  1.94562169  0.96817981  0.62660841
  1.21632138  2.12164075  2.54151893]",19.7496
90,0.6928,0.6816,"[ 2.56916981  4.47580189 -0.04934151  1.94960022  0.97215633  0.63057534
  1.22029987  2.11778293  2.54541375]",19.7382
91,0.6929,0.7155,"[ 2.56717144  4.4738025  -0.05134111  1.95159966  0.97415569  0.63257446
  1.2222993   2.11578579  2.54741068]",19.7325
92,0.6927,0.7121,"[ 2.56912602  4.47578074 -0.04936121  1.94961811  0.97217565  0.6306031
  1.22031772  2.11766157  2.54549843]",19.7378
93,0.6931,0.6949,"[ 2.57112833  4.47778176 -0.04736051  1.94761716  0.9701745   0.62860184
  1.21831672  2.11966131  2.54349523]",19.7436
94,0.6928,0.7198,"[ 2.57313572  4.47978529 -0.04535744  1.94561407  0.96817113  0.6265972
  1.21631362  2.12167539  2.54148268]",19.7497
