v,v_eff,m,t
"[[3.65348546e-06]
 [8.59142613e-06]
 [1.70319211e-04]
 [7.31239740e-06]
 [3.27624631e-05]
 [1.37162647e-06]
 [2.71137176e-05]
 [3.49760400e-08]
 [3.19213895e-05]
 [3.04305826e-08]
 [2.95543290e-07]]","[[3.65348546e-06]
 [8.59142613e-06]
 [1.70319211e-04]
 [7.31239740e-06]
 [3.27624631e-05]
 [1.37162647e-06]
 [2.71137176e-05]
 [3.49760400e-08]
 [3.19213895e-05]
 [3.04305826e-08]
 [2.95543290e-07]]","[[ 0.00573423]
 [-0.00879334]
 [ 0.03915192]
 [ 0.00811243]
 [ 0.01717155]
 [ 0.00351349]
 [ 0.01562125]
 [-0.00056106]
 [ 0.01694971]
 [ 0.00052333]
 [-0.00163092]]",1
"[1.50137927e-07 2.44314293e-10 7.65742349e-10 ... 1.79974194e-06
 5.88096884e-07 1.40886195e-06]","[1.50137927e-07 2.44314293e-10 7.65742349e-10 ... 1.79974194e-06
 5.88096884e-07 1.40886195e-06]","[ 1.16242907e-03 -4.68916692e-05  8.30161499e-05 ...  4.02463383e-03
  2.30062425e-03  3.56086472e-03]",1
"[[2.21833621e-06]
 [5.38625568e-06]
 [1.06736406e-04]
 [4.47619153e-06]
 [2.06273341e-05]
 [8.19946169e-07]
 [1.71248382e-05]
 [2.40336400e-08]
 [2.00345411e-05]
 [2.70064232e-08]
 [2.14554343e-07]]","[[2.21833621e-06]
 [5.38625568e-06]
 [1.06736406e-04]
 [4.47619153e-06]
 [2.06273341e-05]
 [8.19946169e-07]
 [1.71248382e-05]
 [2.40336400e-08]
 [2.00345411e-05]
 [2.70064232e-08]
 [2.14554343e-07]]","[[ 0.00446822]
 [-0.00696249]
 [ 0.03099399]
 [ 0.0063471 ]
 [ 0.0136252 ]
 [ 0.00271653]
 [ 0.01241465]
 [-0.00046508]
 [ 0.01342799]
 [ 0.00049301]
 [-0.0013896 ]]",1
"[[3.36623528e-06]
 [8.16313233e-06]
 [1.61663993e-04]
 [6.76122341e-06]
 [3.11998616e-05]
 [1.24354384e-06]
 [2.59013950e-05]
 [3.81914551e-08]
 [3.03377283e-05]
 [3.92775237e-08]
 [3.29542130e-07]]","[[3.36623528e-06]
 [8.16313233e-06]
 [1.61663993e-04]
 [6.76122341e-06]
 [3.11998616e-05]
 [1.24354384e-06]
 [2.59013950e-05]
 [3.81914551e-08]
 [3.03377283e-05]
 [3.92775237e-08]
 [3.29542130e-07]]","[[ 0.00550419]
 [-0.00857136]
 [ 0.03814415]
 [ 0.00780071]
 [ 0.01675705]
 [ 0.00334543]
 [ 0.01526802]
 [-0.00058628]
 [ 0.01652391]
 [ 0.00059456]
 [-0.00172217]]",1
"[[1.95454048e-06]
 [4.90364454e-06]
 [9.70845751e-05]
 [3.96049534e-06]
 [1.88258147e-05]
 [7.09889598e-07]
 [1.56796344e-05]
 [2.50940083e-08]
 [1.82453669e-05]
 [3.23186097e-08]
 [2.27812810e-07]]","[[1.95454048e-06]
 [4.90364454e-06]
 [9.70845751e-05]
 [3.96049534e-06]
 [1.88258147e-05]
 [7.09889598e-07]
 [1.56796344e-05]
 [2.50940083e-08]
 [1.82453669e-05]
 [3.23186097e-08]
 [2.27812810e-07]]","[[ 0.00419415]
 [-0.00664325]
 [ 0.02955945]
 [ 0.0059703 ]
 [ 0.01301662]
 [ 0.00252765]
 [ 0.01187926]
 [-0.00047523]
 [ 0.01281438]
 [ 0.00053932]
 [-0.00143189]]",1
"[[2.85353948e-06]
 [7.16198669e-06]
 [1.41710732e-04]
 [5.75893119e-06]
 [2.74509094e-05]
 [1.03488788e-06]
 [2.28661122e-05]
 [3.83915864e-08]
 [2.66293871e-05]
 [4.62676919e-08]
 [3.38832321e-07]]","[[2.85353948e-06]
 [7.16198669e-06]
 [1.41710732e-04]
 [5.75893119e-06]
 [2.74509094e-05]
 [1.03488788e-06]
 [2.28661122e-05]
 [3.83915864e-08]
 [2.66293871e-05]
 [4.62676919e-08]
 [3.38832321e-07]]","[[ 0.00506773]
 [-0.00802857]
 [ 0.0357127 ]
 [ 0.00719933]
 [ 0.01571808]
 [ 0.00305188]
 [ 0.01434556]
 [-0.00058781]
 [ 0.0154811 ]
 [ 0.0006453 ]
 [-0.00174628]]",1
"[[1.64254797e-06]
 [4.26714736e-06]
 [8.44205884e-05]
 [3.34463959e-06]
 [1.64274474e-05]
 [5.85210404e-07]
 [1.37275676e-05]
 [2.49246495e-08]
 [1.58843067e-05]
 [3.62140512e-08]
 [2.29754544e-07]]","[[1.64254797e-06]
 [4.26714736e-06]
 [8.44205884e-05]
 [3.34463959e-06]
 [1.64274474e-05]
 [5.85210404e-07]
 [1.37275676e-05]
 [2.49246495e-08]
 [1.58843067e-05]
 [3.62140512e-08]
 [2.29754544e-07]]","[[ 0.00384486]
 [-0.00619712]
 [ 0.0275642 ]
 [ 0.00548651]
 [ 0.01215924]
 [ 0.00229497]
 [ 0.01111522]
 [-0.00047363]
 [ 0.01195654]
 [ 0.0005709 ]
 [-0.00143798]]",1
"[[2.42796119e-06]
 [6.30945476e-06]
 [1.24749936e-04]
 [4.92363150e-06]
 [2.42504208e-05]
 [8.63681739e-07]
 [2.02670331e-05]
 [3.84939218e-08]
 [2.34710296e-05]
 [5.25712558e-08]
 [3.45378005e-07]]","[[2.42796119e-06]
 [6.30945476e-06]
 [1.24749936e-04]
 [4.92363150e-06]
 [2.42504208e-05]
 [8.63681739e-07]
 [2.02670331e-05]
 [3.84939218e-08]
 [2.34710296e-05]
 [5.25712558e-08]
 [3.45378005e-07]]","[[ 0.00467457]
 [-0.00753559]
 [ 0.03350745]
 [ 0.00665678]
 [ 0.01477341]
 [ 0.00278803]
 [ 0.01350568]
 [-0.0005886 ]
 [ 0.01453407]
 [ 0.00068785]
 [-0.00176307]]",1
"[[1.48474504e-06]
 [3.98593874e-06]
 [7.88046281e-05]
 [3.03540725e-06]
 [1.53800239e-05]
 [5.19050666e-07]
 [1.28914180e-05]
 [2.63357463e-08]
 [1.48427017e-05]
 [4.15399787e-08]
 [2.44236354e-07]]","[[1.48474504e-06]
 [3.98593874e-06]
 [7.88046281e-05]
 [3.03540725e-06]
 [1.53800239e-05]
 [5.19050666e-07]
 [1.28914180e-05]
 [2.63357463e-08]
 [1.48427017e-05]
 [4.15399787e-08]
 [2.44236354e-07]]","[[ 0.0036555 ]
 [-0.00598944]
 [ 0.02663159]
 [ 0.00522673]
 [ 0.01176521]
 [ 0.00216136]
 [ 0.01077139]
 [-0.00048685]
 [ 0.01155787]
 [ 0.00061144]
 [-0.00148261]]",1
"[[1.01055286e-06]
 [2.78957913e-06]
 [5.51541811e-05]
 [2.07907279e-06]
 [1.07964603e-05]
 [3.47819197e-07]
 [9.07182314e-06]
 [1.98058750e-08]
 [1.03957571e-05]
 [3.44003298e-08]
 [1.87496684e-07]]","[[1.01055286e-06]
 [2.78957913e-06]
 [5.51541811e-05]
 [2.07907279e-06]
 [1.07964603e-05]
 [3.47819197e-07]
 [9.07182314e-06]
 [1.98058750e-08]
 [1.03957571e-05]
 [3.44003298e-08]
 [1.87496684e-07]]","[[ 0.00301579]
 [-0.00501061]
 [ 0.02227976]
 [ 0.0043257 ]
 [ 0.00985739]
 [ 0.00176929]
 [ 0.00903584]
 [-0.0004222 ]
 [ 0.00967274]
 [ 0.00055642]
 [-0.00129903]]",1
