v,v_eff,m,t
"[[9.29074496e-07]
 [3.89801283e-06]
 [1.65863847e-05]
 [1.37162421e-05]
 [1.70352185e-05]
 [4.49582365e-06]
 [1.67814026e-05]
 [6.53117247e-07]
 [3.47628494e-06]
 [9.76472689e-07]
 [3.68334331e-07]]","[[9.29074496e-07]
 [3.89801283e-06]
 [1.65863847e-05]
 [1.37162421e-05]
 [1.70352185e-05]
 [4.49582365e-06]
 [1.67814026e-05]
 [6.53117247e-07]
 [3.47628494e-06]
 [9.76472689e-07]
 [3.68334331e-07]]","[[ 0.00289166]
 [ 0.00592302]
 [-0.01221792]
 [-0.01111063]
 [-0.01238212]
 [-0.00636101]
 [-0.01228953]
 [-0.00242447]
 [-0.00559344]
 [-0.0029645 ]
 [-0.00182072]]",1
"[1.96185383e-10 9.58405020e-12 7.81680931e-10 ... 9.31438408e-10
 1.44252978e-09 3.93629346e-07]","[1.96185383e-10 9.58405020e-12 7.81680931e-10 ... 9.31438408e-10
 1.44252978e-09 3.93629346e-07]","[ 4.20198578e-05 -9.28743516e-06 -8.38756722e-05 ... -9.15584276e-05
 -1.13941950e-04  1.88219662e-03]",1
"[[1.37121057e-06]
 [5.40141961e-06]
 [2.18049851e-05]
 [1.87040394e-05]
 [2.34131891e-05]
 [6.10776965e-06]
 [2.32457198e-05]
 [8.79899611e-07]
 [4.66755527e-06]
 [1.39890822e-06]
 [4.64664996e-07]]","[[1.37121057e-06]
 [5.40141961e-06]
 [2.18049851e-05]
 [1.87040394e-05]
 [2.34131891e-05]
 [6.10776965e-06]
 [2.32457198e-05]
 [8.79899611e-07]
 [4.66755527e-06]
 [1.39890822e-06]
 [4.64664996e-07]]","[[ 0.00351296]
 [ 0.00697229]
 [-0.01400874]
 [-0.01297445]
 [-0.01451615]
 [-0.00741417]
 [-0.01446414]
 [-0.00281409]
 [-0.00648136]
 [-0.00354826]
 [-0.00204499]]",1
"[[9.49379494e-07]
 [3.98969897e-06]
 [1.68486326e-05]
 [1.40354859e-05]
 [1.73431358e-05]
 [4.59473956e-06]
 [1.70059645e-05]
 [6.56629298e-07]
 [3.51086983e-06]
 [9.69117100e-07]
 [3.79236604e-07]]","[[9.49379494e-07]
 [3.98969897e-06]
 [1.68486326e-05]
 [1.40354859e-05]
 [1.73431358e-05]
 [4.59473956e-06]
 [1.70059645e-05]
 [6.56629298e-07]
 [3.51086983e-06]
 [9.69117100e-07]
 [3.79236604e-07]]","[[ 0.00292308]
 [ 0.00599227]
 [-0.01231413]
 [-0.01123919]
 [-0.01249353]
 [-0.0064306 ]
 [-0.01237149]
 [-0.00243098]
 [-0.00562119]
 [-0.00295331]
 [-0.00184747]]",1
"[[1.45192549e-06]
 [5.68892479e-06]
 [2.26647496e-05]
 [1.96615711e-05]
 [2.45150554e-05]
 [6.40978318e-06]
 [2.42559374e-05]
 [9.08533236e-07]
 [4.83705932e-06]
 [1.43723929e-06]
 [4.87020175e-07]]","[[1.45192549e-06]
 [5.68892479e-06]
 [2.26647496e-05]
 [1.96615711e-05]
 [2.45150554e-05]
 [6.40978318e-06]
 [2.42559374e-05]
 [9.08533236e-07]
 [4.83705932e-06]
 [1.43723929e-06]
 [4.87020175e-07]]","[[ 0.00361488]
 [ 0.00715544]
 [-0.01428225]
 [-0.01330241]
 [-0.0148538 ]
 [-0.00759526]
 [-0.0147751 ]
 [-0.00285951]
 [-0.00659799]
 [-0.00359655]
 [-0.0020936 ]]",1
"[[1.00147466e-06]
 [4.19347805e-06]
 [1.75106890e-05]
 [1.47301350e-05]
 [1.81249153e-05]
 [4.81489269e-06]
 [1.77048301e-05]
 [6.76753047e-07]
 [3.63417168e-06]
 [9.91420701e-07]
 [3.97888920e-07]]","[[1.00147466e-06]
 [4.19347805e-06]
 [1.75106890e-05]
 [1.47301350e-05]
 [1.81249153e-05]
 [4.81489269e-06]
 [1.77048301e-05]
 [6.76753047e-07]
 [3.63417168e-06]
 [9.91420701e-07]
 [3.97888920e-07]]","[[ 0.00300221]
 [ 0.0061434 ]
 [-0.01255373]
 [-0.01151396]
 [-0.01277201]
 [-0.00658286]
 [-0.01262313]
 [-0.00246795]
 [-0.00571905]
 [-0.0029871 ]
 [-0.00189235]]",1
"[[1.35517618e-06]
 [5.40326476e-06]
 [2.16368386e-05]
 [1.87468077e-05]
 [2.31953915e-05]
 [6.10868084e-06]
 [2.27861648e-05]
 [8.51709841e-07]
 [4.56209983e-06]
 [1.30769568e-06]
 [4.77103141e-07]]","[[1.35517618e-06]
 [5.40326476e-06]
 [2.16368386e-05]
 [1.87468077e-05]
 [2.31953915e-05]
 [6.10868084e-06]
 [2.27861648e-05]
 [8.51709841e-07]
 [4.56209983e-06]
 [1.30769568e-06]
 [4.77103141e-07]]","[[ 0.00349236]
 [ 0.00697348]
 [-0.01395462]
 [-0.01298928]
 [-0.01444848]
 [-0.00741472]
 [-0.01432046]
 [-0.00276864]
 [-0.00640772]
 [-0.00343064]
 [-0.00207218]]",1
"[[8.91044886e-07]
 [3.81869553e-06]
 [1.60870127e-05]
 [1.34783755e-05]
 [1.64465897e-05]
 [4.40466086e-06]
 [1.59365140e-05]
 [6.08527475e-07]
 [3.29260524e-06]
 [8.60234068e-07]
 [3.75777855e-07]]","[[8.91044886e-07]
 [3.81869553e-06]
 [1.60870127e-05]
 [1.34783755e-05]
 [1.64465897e-05]
 [4.40466086e-06]
 [1.59365140e-05]
 [6.08527475e-07]
 [3.29260524e-06]
 [8.60234068e-07]
 [3.75777855e-07]]","[[ 0.00283186]
 [ 0.00586244]
 [-0.01203259]
 [-0.01101387]
 [-0.01216632]
 [-0.00629619]
 [-0.01197617]
 [-0.00234025]
 [-0.00544366]
 [-0.00278246]
 [-0.00183902]]",1
"[[1.36144289e-06]
 [5.44996035e-06]
 [2.17070370e-05]
 [1.89164070e-05]
 [2.32795161e-05]
 [6.15665261e-06]
 [2.27544604e-05]
 [8.44094664e-07]
 [4.54505101e-06]
 [1.27639014e-06]
 [4.85819047e-07]]","[[1.36144289e-06]
 [5.44996035e-06]
 [2.17070370e-05]
 [1.89164070e-05]
 [2.32795161e-05]
 [6.15665261e-06]
 [2.27544604e-05]
 [8.44094664e-07]
 [4.54505101e-06]
 [1.27639014e-06]
 [4.85819047e-07]]","[[ 0.00350043]
 [ 0.00700355]
 [-0.01397724]
 [-0.0130479 ]
 [-0.01447466]
 [-0.00744378]
 [-0.01431049]
 [-0.00275624]
 [-0.00639574]
 [-0.00338932]
 [-0.00209102]]",1
"[[1.02436783e-06]
 [4.31452748e-06]
 [1.77968785e-05]
 [1.51563434e-05]
 [1.84574672e-05]
 [4.94223119e-06]
 [1.78548112e-05]
 [6.71349267e-07]
 [3.64496464e-06]
 [9.55716935e-07]
 [4.15524999e-07]]","[[1.02436783e-06]
 [4.31452748e-06]
 [1.77968785e-05]
 [1.51563434e-05]
 [1.84574672e-05]
 [4.94223119e-06]
 [1.78548112e-05]
 [6.71349267e-07]
 [3.64496464e-06]
 [9.55716935e-07]
 [4.15524999e-07]]","[[ 0.00303633]
 [ 0.00623143]
 [-0.0126559 ]
 [-0.01167934]
 [-0.01288865]
 [-0.00666934]
 [-0.01267649]
 [-0.00245808]
 [-0.00572754]
 [-0.00293282]
 [-0.00193384]]",1
"[[1.44600070e-06]
 [5.75275048e-06]
 [2.26113360e-05]
 [1.99243455e-05]
 [2.44303103e-05]
 [6.47345099e-06]
 [2.37990576e-05]
 [8.72599326e-07]
 [4.71960218e-06]
 [1.31411075e-06]
 [5.09535779e-07]]","[[1.44600070e-06]
 [5.75275048e-06]
 [2.26113360e-05]
 [1.99243455e-05]
 [2.44303103e-05]
 [6.47345099e-06]
 [2.37990576e-05]
 [8.72599326e-07]
 [4.71960218e-06]
 [1.31411075e-06]
 [5.09535779e-07]]","[[ 0.00360749]
 [ 0.00719547]
 [-0.01426541]
 [-0.01339101]
 [-0.01482811]
 [-0.00763289]
 [-0.01463528]
 [-0.00280239]
 [-0.00651739]
 [-0.00343904]
 [-0.00214145]]",1
"[[9.94807328e-07]
 [4.22914523e-06]
 [1.74261948e-05]
 [1.48784734e-05]
 [1.80092014e-05]
 [4.84722555e-06]
 [1.73183739e-05]
 [6.46922732e-07]
 [3.53640598e-06]
 [9.01636737e-07]
 [4.13990433e-07]]","[[9.94807328e-07]
 [4.22914523e-06]
 [1.74261948e-05]
 [1.48784734e-05]
 [1.80092014e-05]
 [4.84722555e-06]
 [1.73183739e-05]
 [6.46922732e-07]
 [3.53640598e-06]
 [9.01636737e-07]
 [4.13990433e-07]]","[[ 0.0029922 ]
 [ 0.00616947]
 [-0.01252341]
 [-0.01157179]
 [-0.01273117]
 [-0.00660492]
 [-0.01248461]
 [-0.00241295]
 [-0.0056416 ]
 [-0.00284864]
 [-0.00193026]]",1
"[2.75626129e-08 1.37129672e-09 1.04921063e-07 ... 1.35105458e-07
 2.02273777e-07 5.55358774e-05]","[2.75626129e-08 1.37129672e-09 1.04921063e-07 ... 1.35105458e-07
 2.02273777e-07 5.55358774e-05]","[ 0.00049806 -0.00011109 -0.00097175 ... -0.0011027  -0.00134925
  0.02235672]",1
"[[1.51747740e-06]
 [6.01141871e-06]
 [2.33552598e-05]
 [2.07852121e-05]
 [2.53859068e-05]
 [6.74198719e-06]
 [2.46389857e-05]
 [8.93294362e-07]
 [4.85546692e-06]
 [1.33707945e-06]
 [5.30536859e-07]]","[[1.51747740e-06]
 [6.01141871e-06]
 [2.33552598e-05]
 [2.07852121e-05]
 [2.53859068e-05]
 [6.74198719e-06]
 [2.46389857e-05]
 [8.93294362e-07]
 [4.85546692e-06]
 [1.33707945e-06]
 [5.30536859e-07]]","[[ 0.00369558]
 [ 0.00735546]
 [-0.01449818]
 [-0.01367724]
 [-0.01511533]
 [-0.0077896 ]
 [-0.0148913 ]
 [-0.00283543]
 [-0.00661054]
 [-0.00346896]
 [-0.00218514]]",1
"[[1.01748579e-06]
 [4.32921922e-06]
 [1.77106344e-05]
 [1.52227534e-05]
 [1.83392208e-05]
 [4.95281806e-06]
 [1.75548520e-05]
 [6.49371280e-07]
 [3.57178585e-06]
 [8.94036636e-07]
 [4.25520989e-07]]","[[1.01748579e-06]
 [4.32921922e-06]
 [1.77106344e-05]
 [1.52227534e-05]
 [1.83392208e-05]
 [4.95281806e-06]
 [1.75548520e-05]
 [6.49371280e-07]
 [3.57178585e-06]
 [8.94036636e-07]
 [4.25520989e-07]]","[[ 0.00302612]
 [ 0.00624203]
 [-0.0126252 ]
 [-0.0117049 ]
 [-0.01284729]
 [-0.00667648]
 [-0.01256955]
 [-0.00241751]
 [-0.00566975]
 [-0.00283661]
 [-0.00195696]]",1
"[[7.45771426e-07]
 [3.33397819e-06]
 [1.40890344e-05]
 [1.18497275e-05]
 [1.41372530e-05]
 [3.86196148e-06]
 [1.33971269e-05]
 [5.00957874e-07]
 [2.78306949e-06]
 [6.50690513e-07]
 [3.51134815e-07]]","[[7.45771426e-07]
 [3.33397819e-06]
 [1.40890344e-05]
 [1.18497275e-05]
 [1.41372530e-05]
 [3.86196148e-06]
 [1.33971269e-05]
 [5.00957874e-07]
 [2.78306949e-06]
 [6.50690513e-07]
 [3.51134815e-07]]","[[ 0.00259074]
 [ 0.00547776]
 [-0.01126061]
 [-0.01032703]
 [-0.01127986]
 [-0.00589556]
 [-0.01098063]
 [-0.00212335]
 [-0.00500476]
 [-0.00241996]
 [-0.0017777 ]]",1
"[[1.13837845e-06]
 [4.77589714e-06]
 [1.91827305e-05]
 [1.67268129e-05]
 [2.01037968e-05]
 [5.43078427e-06]
 [1.92015597e-05]
 [6.99650122e-07]
 [3.86555285e-06]
 [9.67024018e-07]
 [4.61364531e-07]]","[[1.13837845e-06]
 [4.77589714e-06]
 [1.91827305e-05]
 [1.67268129e-05]
 [2.01037968e-05]
 [5.43078427e-06]
 [1.92015597e-05]
 [6.99650122e-07]
 [3.86555285e-06]
 [9.67024018e-07]
 [4.61364531e-07]]","[[ 0.00320084]
 [ 0.00655615]
 [-0.01313943]
 [-0.01226953]
 [-0.01345118]
 [-0.00699121]
 [-0.01314588]
 [-0.00250935]
 [-0.0058983 ]
 [-0.00295012]
 [-0.00203771]]",1
