epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
41,0.6927,0.722,"[2.38378031 4.76267942 0.23731485 1.66304359 0.68547003 0.34372219
 1.40679904 2.40801133 2.25638732 3.62202329 2.39746587 4.06841322
 1.5210932  5.31799095 0.26494776]",20.6952
42,0.6931,0.6674,"[2.3837713  4.76269944 0.23733139 1.66303003 0.68545462 0.34371286
 1.40680932 2.40803265 2.25637404 3.62203492 2.39745773 4.06838314
 1.52110344 5.3179592  0.2649663 ]",20.695
43,0.693,0.7119,"[2.38775148 4.75874636 0.23337249 1.6669992  0.68941961 0.34769229
 1.40283215 2.40408294 2.26034435 3.61806097 2.40143998 4.07230651
 1.51712602 5.3218698  0.26101131]",20.706
44,0.6929,0.7337,"[2.38775837 4.75873016 0.23335701 1.66700996 0.6894317  0.34769945
 1.40282418 2.40406559 2.26035459 3.61805188 2.40144614 4.07233305
 1.51711822 5.32190248 0.26099523]",20.7062
45,0.6933,0.7042,"[2.38775665 4.75873441 0.23336017 1.66700725 0.68942856 0.34769766
 1.40282617 2.40407015 2.26035196 3.61805414 2.4014446  4.07232586
 1.51712021 5.32189441 0.26099919]",20.7061
46,0.6931,0.6932,"[2.39158216 4.75508037 0.22969035 1.67075414 0.6931514  0.35151733
 1.39902348 2.40043331 2.26410945 3.61427408 2.40528629 4.0758395
 1.51331438 5.32534009 0.25734544]",20.7163
47,0.6931,0.698,"[2.39151176 4.7552432  0.22984325 1.67064477 0.69302897 0.35144422
 1.39910466 2.40060706 2.26400562 3.61436638 2.40522329 4.0755769
 1.51339407 5.32501844 0.25750834]",20.7143
48,0.6931,0.7021,"[2.38754931 4.75915574 0.23376125 1.66670319 0.68909453 0.34748321
 1.40306134 2.40451359 2.26006119 3.61831705 2.40125687 4.07171874
 1.51735155 5.32119177 0.26142143]",20.7017
49,0.693,0.6571,"[2.38355965 4.7631315  0.23773823 1.66271932 0.68511264 0.34349395
 1.40704939 2.40848765 2.25607653 3.62230342 2.39726611 4.06775834
 1.52133984 5.31724045 0.26539736]",20.6906
50,0.6929,0.6694,"[2.38354254 4.76317202 0.23777332 1.66269273 0.68508238 0.34347618
 1.4070691  2.40853109 2.25605085 3.62232591 2.39725078 4.06769239
 1.52135935 5.31716433 0.26543592]",20.6902
51,0.6926,0.6747,"[2.38554162 4.76117456 0.23577453 1.66469127 0.68708058 0.34547523
 1.40507015 2.40653386 2.25804935 3.62032712 2.39924996 4.06968778
 1.51936045 5.31915999 0.26343791]",20.6955
