epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
47,0.6914,0.7531,"[ 2.48266526  4.66376549 -0.13724348  1.76189985  0.78417947  0.52206468
  1.03239937  2.30779933  2.35505059  3.26241502  2.77110275]",10.334
48,0.6926,0.7344,"[ 2.47969092  4.66676158 -0.14024263  1.75891634  0.7811814   0.52502901
  1.02940139  2.31079031  2.35205263  3.25942159  2.77409843]",10.3404
49,0.6924,0.7217,"[ 2.47672392  4.66975685 -0.1432416   1.75593762  0.77818374  0.52798931
  1.02640384  2.31377968  2.34905511  3.25642937  2.77709327]",10.3479
50,0.6922,0.7359,"[ 2.4737592   4.67275202 -0.14624055  1.75296053  0.77518613  0.53095091
  1.02340635  2.31676903  2.34605765  3.2534372   2.78008804]",10.3565
51,0.6925,0.7221,"[ 2.47080135  4.67574656 -0.14923937  1.74998808  0.77218884  0.53391028
  1.02040918  2.31975731  2.34306052  3.25044586  2.78308219]",10.3662
52,0.6924,0.7319,"[ 2.46784254  4.67874149 -0.15223827  1.7470153   0.76919136  0.53687424
  1.01741182  2.32274662  2.3400632   3.24745381  2.78607679]",10.3771
53,0.6932,0.7122,"[ 2.4648944   4.68173555 -0.15523698  1.74404988  0.76619431  0.53983469
  1.01441492  2.32573442  2.33706634  3.24446293  2.78907053]",10.389
54,0.6928,0.7117,"[ 2.46196568  4.68472796 -0.15823533  1.74109775  0.76319809  0.54278686
  1.01141889  2.32871914  2.33407037  3.2414744   2.79206259]",10.4021
55,0.6928,0.7221,"[ 2.45903838  4.68772067 -0.16123376  1.73814723  0.76020173  0.54574274
  1.0084227   2.33170474  2.33107426  3.23848526  2.79505501]",10.4164
56,0.6929,0.7077,"[ 2.45614178  4.69071114 -0.1642317   1.73521849  0.75720649  0.5486881
  1.0054277   2.33468634  2.32807935  3.23549922  2.79804519]",10.4318
57,0.693,0.7093,"[ 2.45326923  4.69370031 -0.16722936  1.73230788  0.75421191  0.55162884
  1.00243339  2.33766586  2.32508516  3.23251483  2.80103412]",10.4483
